Time	Temp	Setpoint	Output	State
0	23.91	60	255	0
1	24.64	60	255	0
2	25.2	60	255	0
3	25.93	60	255	0
4	26.3	60	255	0
5	26.87	60	255	0
6	27.31	60	255	0
7	27.98	60	255	0
8	28.57	60	255	0
9	29.12	60	255	0
10	29.25	60	255	0
11	29.83	60	255	0
12	30.57	60	255	0
13	30.84	60	255	0
14	31.41	60	255	0
15	31.95	60	255	0
16	32.62	60	255	0
17	32.95	60	255	0
18	33.36	60	255	0
19	33.71	60	255	0
20	34.1	60	255	0
21	34.4	60	255	0
22	35.19	60	255	0
23	35.48	60	255	0
24	35.57	60	255	0
25	36.41	60	255	0
26	36.37	60	255	0
27	37.02	60	255	0
28	37.57	60	255	0
29	37.65	60	255	0
30	38.12	60	255	0
31	38.69	60	255	0
32	38.96	60	255	0
33	39.16	60	255	0
34	39.34	60	255	0
35	39.92	60	255	0
36	40.36	60	255	0
37	40.42	60	255	0
38	40.52	60	255	0
39	41.29	60	255	0
40	41.06	60	255	0
41	41.58	60	255	0
42	42.35	60	255	0
43	42.58	60	255	0
44	42.78	60	255	0
45	43.09	60	255	0
46	43.36	60	255	0
47	43.59	60	255	0
48	43.94	60	255	0
49	43.97	60	255	0
50	44.35	60	255	0
51	44.8	60	255	0
52	44.9	60	255	0
53	45.17	60	255	0
54	45.29	60	255	0
55	45.38	60	255	0
56	45.95	60	255	0
57	46.12	60	255	0
58	46.28	60	255	0
59	46.36	60	255	0
60	46.57	60	255	0
61	47.03	60	255	0
62	47.03	60	255	0
63	47.46	60	255	0
64	47.79	60	255	0
65	48.25	60	255	0
66	47.97	60	255	0
67	48.47	60	255	0
68	48.52	60	255	0
69	48.26	60	255	0
70	48.64	60	255	0
71	49.04	60	255	0
72	49.1	60	255	0
73	49.52	60	255	0
74	49.78	60	255	0
75	49.82	60	255	0
76	50.03	60	255	0
77	50.11	60	255	0
78	50.24	60	255	0
79	50.35	60	255	0
80	50.46	60	255	0
81	50.7	60	255	0
82	50.83	60	255	0
83	51.07	60	255	0
84	51.31	60	255	0
85	51.37	60	255	0
86	51.37	60	255	0
87	51.19	60	255	0
88	51.58	60	255	0
89	51.92	60	255	0
90	52.31	60	255	0
91	51.96	60	255	0
92	52.31	60	255	0
93	52.23	60	255	0
94	52.4	60	255	0
95	52.38	60	255	0
96	52.78	60	255	0
97	52.69	60	255	0
98	52.57	60	255	0
99	53.21	60	255	0
100	53.21	60	255	0
101	53.25	60	255	0
102	53.67	60	255	0
103	53.56	60	255	0
104	53.66	60	255	0
105	53.59	60	255	0
106	53.46	60	255	0
107	53.85	60	255	0
108	54.25	60	255	0
109	54.29	60	255	0
110	54.29	60	255	0
111	54.17	60	255	0
112	54.75	60	255	0
113	54.54	60	255	0
114	54.26	60	255	0
115	54.57	60	255	0
116	54.53	60	255	0
117	54.96	60	255	0
118	54.98	60	255	0
119	55.14	60	255	0
120	55.19	60	255	0
121	55.09	60	255	0
122	55.5	60	255	0
123	55.65	60	255	0
124	55.47	60	255	0
125	55.42	60	255	0
126	55.55	60	255	0
127	55.54	60	255	0
128	55.54	60	255	0
129	55.85	60	255	0
130	55.74	60	255	0
131	55.95	60	255	0
132	55.91	60	255	0
133	55.82	60	255	0
134	56.09	60	255	0
135	56.12	60	255	0
136	56.4	60	255	0
137	56.25	60	255	0
138	56.43	60	255	0
139	56.39	60	255	0
140	56.56	60	255	0
141	56.69	60	255	0
142	56.49	60	255	0
143	56.49	60	255	0
144	56.71	60	255	0
145	56.85	60	255	0
146	56.87	60	255	0
147	57.05	60	255	0
148	56.86	60	255	0
149	57.25	60	255	0
150	57.01	60	255	0
151	57.23	60	255	0
152	57.13	60	255	0
153	57.2	60	255	0
154	57.08	60	255	0
155	57.34	60	255	0
156	57.26	60	255	0
157	57.05	60	255	0
158	57.67	60	255	0
159	57.67	60	255	0
160	57.42	60	255	0
161	57.77	60	255	0
162	57.93	60	255	0
163	57.88	60	255	0
164	57.43	60	255	0
165	57.67	60	255	0
166	57.96	60	255	0
167	57.88	60	255	0
168	58.06	60	255	0
169	57.97	60	255	0
170	57.77	60	255	0
171	57.89	60	255	0
172	57.96	60	255	0
173	57.76	60	255	0
174	58.14	60	255	0
175	58.26	60	255	0
176	58.01	60	255	0
177	58.12	60	255	0
