Time	Temperature
0	25.8986954075678
0.101449275362319	25.2196822674002
0.202898550724638	25.0633729366161
0.304347826086957	25.4895367946378
0.405797101449275	24.0447395656622
0.507246376811594	24.0771660298938
0.608695652173913	23.9967526234817
0.710144927536232	23.8076397174534
0.811594202898551	24.0319906859521
0.91304347826087	22.4713285329214
1.01449275362319	22.2498883969218
1.11594202898551	21.7386373682382
1.21739130434783	20.0635107214566
1.31884057971015	19.8712795712008
1.42028985507246	18.6193107157668
1.52173913043478	17.5899014573119
1.6231884057971	17.0949682059214
1.72463768115942	16.03905887691
1.82608695652174	15.7538411856899
1.92753623188406	14.1905506793016
2.02898550724638	13.670255182875
2.1304347826087	13.6605808138189
2.23188405797101	12.8480879704194
2.33333333333333	13.2184673639101
2.43478260869565	12.389848052426
2.53623188405797	12.400626894747
2.63768115942029	11.818705910359
2.73913043478261	11.445149844475
2.84057971014493	10.5906862758982
2.94202898550725	10.7064365863608
3.04347826086957	11.1569697008678
3.14492753623188	9.78469516036757
3.2463768115942	10.1305125507566
3.34782608695652	9.04258384130367
3.44927536231884	9.48624473057645
3.55072463768116	8.3499254917221
3.65217391304348	7.72098743914993
3.7536231884058	5.90617846922903
3.85507246376812	5.70661649563569
3.95652173913044	4.90531392817301
4.05797101449275	3.3854690380326
4.15942028985507	2.6549270238394
4.26086956521739	1.98618302327909
4.36231884057971	0.565310605792984
4.46376811594203	0.384483806988986
4.56521739130435	0.281354889739435
4.66666666666667	-0.0028587857294779
4.76811594202899	0.528494620508429
4.86956521739131	0.53816913515254
4.97101449275362	0.521416050772719
5.07246376811594	-13.3806598540147
5.17391304347826	-7.42469502871004
5.27536231884058	-7.93343376388191
5.3768115942029	-7.45508561724926
5.47826086956522	-7.42909166013894
5.57971014492754	-7.65295379841546
5.68115942028986	-8.11667164142792
5.78260869565217	-8.25579294041162
5.88405797101449	-8.46050686110753
5.98550724637681	-8.79469594664431
6.08695652173913	-8.396577652957
6.18840579710145	-8.31484523433868
6.28985507246377	-8.24349402080174
6.39130434782609	-9.05830417296929
6.49275362318841	-8.79131656587693
6.59420289855073	-8.6390376728055
6.69565217391304	-9.19674217710394
6.79710144927536	-9.17393190351745
6.89855072463768	-8.86507495987894
7	-9.28511311864002
