Time	Temp	Setpoint	Output	State
0	23.94	50	255	0
1	24.59	50	255	0
2	25.17	50	255	0
3	25.22	50	255	0
4	25.58	50	255	0
5	26.19	50	255	0
6	26.63	50	255	0
7	26.79	50	255	0
8	27.16	50	255	0
9	27.67	50	255	0
10	28.2	50	255	0
11	28.18	50	255	0
12	28.87	50	255	0
13	29.06	50	255	0
14	29.25	50	255	0
15	29.71	50	255	0
16	30.16	50	255	0
17	30.36	50	255	0
18	30.72	50	255	0
19	31.49	50	255	0
20	31.28	50	255	0
21	31.91	50	255	0
22	31.83	50	255	0
23	32.28	50	255	0
24	32.66	50	255	0
25	32.99	50	255	0
26	33.15	50	255	0
27	33.34	50	255	0
28	33.89	50	255	0
29	34.2	50	255	0
30	34.23	50	255	0
31	34.32	50	255	0
32	34.65	50	255	0
33	34.93	50	255	0
34	35.35	50	255	0
35	35.73	50	255	0
36	35.45	50	255	0
37	36.26	50	255	0
38	35.99	50	255	0
39	36.54	50	255	0
40	36.5	50	255	0
41	37.03	50	255	0
42	36.99	50	255	0
43	37.47	50	255	0
44	37.38	50	255	0
45	37.74	50	255	0
46	37.81	50	255	0
47	38.04	50	255	0
48	38.25	50	255	0
49	38.2	50	255	0
50	38.7	50	255	0
51	38.92	50	255	0
52	38.97	50	255	0
53	39.27	50	255	0
54	39.48	50	255	0
55	39.53	50	255	0
56	39.63	50	255	0
57	39.77	50	255	0
58	40.17	50	255	0
59	40.22	50	255	0
60	40.38	50	255	0
61	40.79	50	255	0
62	40.97	50	255	0
63	40.69	50	255	0
64	40.9	50	255	0
65	41.53	50	255	0
66	41.19	50	255	0
67	41.62	50	255	0
68	41.8	50	255	0
69	41.92	50	255	0
70	42.02	50	255	0
71	42.19	50	255	0
72	42.28	50	255	0
73	42.26	50	255	0
74	42.56	50	255	0
75	42.6	50	255	0
76	42.94	50	255	0
77	42.78	50	255	0
78	43.03	50	255	0
79	43.04	50	255	0
80	43.16	50	255	0
81	43.41	50	255	0
82	43.46	50	255	0
83	43.46	50	255	0
84	43.58	50	255	0
85	43.55	50	255	0
86	43.62	50	255	0
87	43.95	50	255	0
88	44.18	50	255	0
89	44.42	50	255	0
90	44.15	50	255	0
91	44.39	50	255	0
92	44.53	50	255	0
93	44.22	50	255	0
94	44.38	50	255	0
95	44.66	50	255	0
96	44.68	50	255	0
97	44.97	50	255	0
98	45.02	50	255	0
99	45.04	50	255	0
100	45.11	50	255	0
101	45.05	50	255	0
102	45.26	50	255	0
103	45.28	50	255	0
104	45.47	50	255	0
105	45.66	50	255	0
106	45.77	50	255	0
107	45.59	50	255	0
108	45.68	50	255	0
109	45.62	50	255	0
110	45.86	50	255	0
111	45.89	50	255	0
112	46.35	50	255	0
113	46.21	50	255	0
114	46.18	50	255	0
115	46.3	50	255	0
116	46.14	50	255	0
117	46.35	50	255	0
118	46.42	50	255	0
119	46.51	50	255	0
120	46.53	50	255	0
121	46.68	50	255	0
122	46.79	50	255	0
123	46.63	50	255	0
124	46.73	50	255	0
125	46.53	50	255	0
126	46.8	50	255	0
127	46.75	50	255	0
128	46.74	50	255	0
129	47.04	50	255	0
130	47.2	50	255	0
131	47.03	50	255	0
132	46.84	50	255	0
133	47.15	50	255	0
134	47.02	50	255	0
135	46.98	50	255	0
136	47.09	50	255	0
137	47.55	50	255	0
138	47.31	50	255	0
139	47.63	50	255	0
140	47.15	50	255	0
141	47.44	50	255	0
142	47.64	50	255	0
143	47.91	50	255	0
144	47.91	50	255	0
145	47.81	50	255	0
146	47.59	50	255	0
147	47.62	50	255	0
148	47.58	50	255	0
149	47.81	50	255	0
150	47.98	50	255	0
151	47.94	50	255	0
152	48.14	50	255	0
153	48.11	50	255	0
154	48.05	50	255	0
155	47.96	50	255	0
156	47.86	50	255	0
157	47.89	50	255	0
158	48.1	50	255	0
159	48.13	50	255	0
160	48.1	50	255	0
161	48.16	50	255	0
162	48.11	50	255	0
163	48.49	50	255	0
164	48.33	50	255	0
165	48.62	50	255	0
166	48.51	50	255	0
167	48.23	50	255	0
168	48.53	50	255	0
169	48.8	50	255	0
170	48.22	50	255	0
171	48.21	50	255	0
172	48.28	50	255	0
173	48.58	50	255	0
174	48.49	50	255	0
175	48.67	50	255	0
176	49.05	50	255	0
177	48.74	50	255	0
178	48.51	50	255	0
179	48.22	50	255	0
180	48.66	50	255	0
181	48.72	50	255	0
182	49.02	50	255	0
183	48.75	50	255	0
184	48.78	50	255	0
185	48.89	50	255	0
186	48.95	50	255	0
187	48.92	50	255	0
188	49.02	50	255	0
189	48.92	50	255	0
190	48.97	50	255	0
191	49.12	50	255	0
192	48.78	50	255	0
193	49.27	50	255	0
194	48.86	50	255	0
195	49.17	50	255	0
196	49.09	50	255	0
197	49.05	50	255	0
198	48.96	50	255	0
199	49.01	50	255	0
200	49.16	50	255	0
201	49.04	50	255	0
202	49.38	50	255	0
203	49.08	50	255	0
204	49.14	50	255	0
205	49.15	50	255	0
206	49.09	50	255	0
