Time	Temp	Setpoint	Output	State
0	16.09	10	255	0
1	15.86	10	255	0
2	15.73	10	255	0
3	16.04	10	255	0
4	15.87	10	255	0
5	15.69	10	255	0
6	15.49	10	255	0
7	15.65	10	255	0
8	15.28	10	255	0
9	15.61	10	255	0
10	15.26	10	255	0
11	15.6	10	255	0
12	15.16	10	255	0
13	15.42	10	255	0
14	15.32	10	255	0
15	15.3	10	255	0
16	15.08	10	255	0
17	14.79	10	255	0
18	15.26	10	255	0
19	15.48	10	255	0
20	14.58	10	255	0
21	14.97	10	255	0
22	14.81	10	255	0
23	15.17	10	255	0
24	15.03	10	255	0
25	14.87	10	255	0
26	14.64	10	255	0
27	14.71	10	255	0
28	14.84	10	255	0
29	15	10	255	0
30	14.75	10	255	0
31	14.7	10	255	0
32	14.4	10	255	0
33	14.4	10	255	0
34	14.48	10	255	0
35	14.69	10	255	0
36	14.55	10	255	0
37	14.5	10	255	0
38	14.34	10	255	0
39	14.55	10	255	0
40	14.38	10	255	0
41	14.49	10	255	0
42	14.36	10	255	0
43	14.34	10	255	0
44	14.33	10	255	0
45	14.36	10	255	0
46	14.16	10	255	0
47	14.18	10	255	0
48	13.96	10	255	0
49	14.11	10	255	0
50	14.36	10	255	0
51	13.76	10	255	0
52	13.92	10	255	0
53	14.18	10	255	0
54	14.12	10	255	0
55	13.85	10	255	0
56	13.94	10	255	0
57	13.99	10	255	0
58	13.68	10	255	0
59	13.73	10	255	0
60	13.84	10	255	0
61	13.76	10	255	0
62	13.95	10	255	0
63	13.8	10	255	0
64	13.58	10	255	0
65	14.04	10	255	0
66	13.72	10	255	0
67	13.62	10	255	0
68	13.36	10	255	0
69	13.51	10	255	0
70	13.62	10	255	0
71	13.36	10	255	0
72	13.38	10	255	0
73	13.63	10	255	0
74	13.46	10	255	0
75	13.57	10	255	0
76	13.31	10	255	0
77	13.2	10	255	0
78	13.33	10	255	0
79	13.31	10	255	0
80	13.28	10	255	0
81	13.45	10	255	0
82	13.21	10	255	0
83	13.39	10	255	0
84	12.97	10	255	0
85	13.22	10	255	0
86	13.15	10	255	0
87	12.97	10	255	0
88	12.89	10	255	0
89	13.08	10	255	0
90	13.07	10	255	0
91	13.03	10	255	0
92	13.16	10	255	0
93	13.07	10	255	0
94	12.99	10	255	0
95	13.11	10	255	0
96	12.77	10	255	0
97	12.92	10	255	0
98	12.78	10	255	0
99	12.94	10	255	0
100	12.85	10	255	0
101	12.71	10	255	0
102	13.1	10	255	0
103	12.74	10	255	0
104	12.84	10	255	0
105	12.9	10	255	0
106	12.74	10	255	0
107	12.99	10	255	0
108	12.91	10	255	0
109	12.89	10	255	0
110	12.84	10	255	0
111	12.92	10	255	0
112	12.65	10	255	0
113	12.49	10	255	0
114	12.7	10	255	0
115	12.64	10	255	0
116	12.41	10	255	0
117	12.62	10	255	0
118	12.36	10	255	0
119	12.83	10	255	0
120	12.58	10	255	0
121	12.69	10	255	0
122	12.44	10	255	0
123	12.54	10	255	0
124	12.39	10	255	0
125	12.36	10	255	0
126	12.25	10	255	0
127	12.32	10	255	0
128	12.41	10	255	0
129	12.21	10	255	0
130	12.17	10	255	0
131	12.27	10	255	0
132	12.09	10	255	0
133	12.42	10	255	0
134	12.23	10	255	0
135	12.32	10	255	0
136	12.14	10	255	0
137	11.83	10	255	0
138	12.24	10	255	0
139	12.28	10	255	0
140	11.89	10	255	0
141	12.18	10	255	0
142	12.19	10	255	0
143	12.19	10	255	0
144	11.95	10	255	0
145	12	10	255	0
146	12.21	10	255	0
147	12.16	10	255	0
148	11.95	10	255	0
149	12.06	10	255	0
150	12.07	10	255	0
151	11.92	10	255	0
152	11.69	10	255	0
153	11.9	10	255	0
154	11.67	10	255	0
155	11.9	10	255	0
156	11.96	10	255	0
157	12.14	10	255	0
158	11.99	10	255	0
159	11.95	10	255	0
160	12.05	10	255	0
161	11.75	10	255	0
162	11.84	10	255	0
163	11.57	10	255	0
164	11.7	10	255	0
165	11.89	10	255	0
166	11.77	10	255	0
167	11.85	10	255	0
168	11.99	10	255	0
169	11.63	10	255	0
170	11.87	10	255	0
171	11.69	10	255	0
172	11.72	10	255	0
173	11.66	10	255	0
174	11.65	10	255	0
175	11.87	10	255	0
176	11.8	10	255	0
177	11.72	10	255	0
178	11.59	10	255	0
179	11.74	10	255	0
180	11.37	10	255	0
181	11.45	10	255	0
182	11.79	10	255	0
183	11.86	10	255	0
184	11.7	10	255	0
185	11.46	10	255	0
186	11.68	10	255	0
187	11.61	10	255	0
188	11.6	10	255	0
189	11.51	10	255	0
190	11.37	10	255	0
191	11.38	10	255	0
192	11.37	10	255	0
193	11.71	10	255	0
194	11.42	10	255	0
195	11.35	10	255	0
196	11.52	10	255	0
197	11.36	10	255	0
198	11.46	10	255	0
199	11.35	10	255	0
200	11.17	10	255	0
201	11.27	10	255	0
202	11.59	10	255	0
203	11.18	10	255	0
204	11.43	10	255	0
205	11.57	10	255	0
206	11.57	10	255	0
207	11.26	10	255	0
208	11.29	10	255	0
209	11.46	10	255	0
210	11.39	10	255	0
211	11.39	10	255	0
212	11.25	10	255	0
213	11.41	10	255	0
214	11.35	10	255	0
215	11.21	10	255	0
216	11.33	10	255	0
217	11.26	10	255	0
218	11.21	10	255	0
219	11.22	10	255	0
220	11.25	10	255	0
221	11.08	10	255	0
222	11.29	10	255	0
223	11.3	10	255	0
224	11.22	10	255	0
225	11.35	10	255	0
226	11.24	10	255	0
227	11.15	10	255	0
228	11.05	10	255	0
229	11.08	10	255	0
230	11.14	10	255	0
231	11.21	10	255	0
232	10.74	10	255	0
233	11.24	10	255	0
234	11.02	10	255	0
235	11.05	10	255	0
236	10.87	10	255	0
237	10.96	10	255	0
238	10.93	10	255	0
239	11.04	10	255	0
240	10.99	10	255	0
241	11.06	10	255	0
242	11.06	10	255	0
243	11.16	10	255	0
244	11.26	10	255	0
245	10.89	10	255	0
246	10.85	10	255	0
247	10.99	10	255	0
248	11.11	10	255	0
249	11	10	255	0
250	11.06	10	255	0
251	11.02	10	255	0
252	11.02	10	255	0
253	11.03	10	255	0
254	10.97	10	255	0
255	10.71	10	255	0
256	10.91	10	255	0
257	10.89	10	255	0
258	10.92	10	255	0
259	10.92	10	255	0
260	11.1	10	255	0
261	10.72	10	255	0
262	10.85	10	255	0
263	10.81	10	255	0
264	10.62	10	255	0
265	10.88	10	255	0
266	11.07	10	255	0
267	11.25	10	255	0
268	10.6	10	255	0
269	10.94	10	255	0
270	11.21	10	255	0
271	10.92	10	255	0
272	10.85	10	255	0
273	10.81	10	255	0
274	10.84	10	255	0
275	11.01	10	255	0
